Greg Thomas' Stats (Last Year),FG Missed (YDS out),Yard Line **,FG Made (YDS out),Yard Line **,Before:,FG Missed (YDS out),FG Missed (Yard Line),FG Made (YDS out),FG Made (Yard Line),,DIFF TO FIELD GOAL FROM 0 YD LINE
, ,12,22,5,,50,33,20,3,,-17
,37,20,36,19,,20,3,43,26,,-17
,43,26,25,8,,18,1,32,15,,-17
,36,19,31,14,,61,44,41,24,,-17
,24,7,32,15,,65,48,37,20,,-17
,,,22,5,,35,18,44,27,,-17
,,,37,20,,31,14,52,35,,-17
,,,30,13,,34,17,22,5,,-17
,,,36,19,,43,26,40,23,,-17
,,,39,22,,54,37,26,9,,-17
,,,,,,32,15,23,6,,-17
,,,,,,41,24,27,10,,-17
,,,,,,55,38,48,31,,-17
,,,,,,37,20,45,28,,-17
,,,,,,51,34,28,11,,-17
,,,,,,44,27,25,8,,-17
,,,,,,52,35,39,22,,-17
,,,,,,40,23,29,12,,-17
,,,,,,38,21,36,19,,-17
,,,,,,26,9,47,30,,-17
,,,,,,23,6,30,13,,-17
,,,,,,57,40,19,2,,-17
,,,,,,,,21,4,,-17
,,,,,,,,,,,
,33.8,16.8,31,14,,41.22727273,24.22727273,33.65217391,16.65217391,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,25,,,
,,,,,,,,28,,,
,,,,,,,,11,,,
,,,,,,,,8,,,
